National Polish-American Sports Hall of Fame,42.550664,-83.089399,
Cedar Point Amusement,41.481944,-82.683604,
Verizon 5165 Emerald Pkwy,40.1057272,-83.1278961,
Ohio State Varsity O Hall of Fame,40.010719,-83.021166,
Verizon 5000 Britton RD,40.0545212,-83.1324994,
Motorcycle Hall of Fame,39.933784,-82.782808,
Kermit Blosser Ohio Athletics Hall of Fame,39.323292,-82.105604,
Goddard IV and V Facility,39.43057,-80.198,
Verizon 3011 Hungary Spring Rd,37.624795,-77.52094,
Water Country USA,37.26166,-76.636488,
Langely Research Center,37.101406,-76.39344,
Busch Gardens Williamsburg,37.23862,-76.64448,
Virginia Sports Hall of Fame and Museum,36.835745,-76.299085,
Verizon 6400 Weston Pkwy,35.8312669,-78.789056,
Verizon 10100 Sardis Crossing DR,35.136355,-80.732037,
Verizon 3700 Arco Corporate Dr,35.1514481,-80.9473904,
Time Warner Cable Arena,35.225,-80.839167,
Camp Wilderness Resort,35.10085,-80.94987,
Verizon 501 Spears Creek Church RD,34.1110633,-80.8353538,
Verizon 701 Brookfield PKWY,34.8153,-82.281457,
Verizon 5055 N Point PKWY,34.0553182,-84.2772775,
Philips Arena,33.757222,-84.396389,
The Varsity,33.771693,-84.389328,
College Football Hall of Fame,33.760558,-84.395761,
Atlanta Braves Museum and Hall of Fame,33.734836,-84.388624,
Holeman & Finch Public House,33.815928,-84.390386,
The Vortex,33.779063,-84.384481,
Six Flags Over Georgia,33.768444,-84.549689,
International Motorsports Hall of Fame,33.578323,-86.072406,
Alabama Jazz Hall of Fame,33.514943,-86.81185,
Verizon 300 River Rock Blvd,35.8435351,-86.4347353,
Country Music Hall of Fame,36.158278,-86.776131,
Nashville Songwriters Foundation,36.156741,-86.778207,
Catbird Seat,36.151281,-86.794112,
International Bluegrass Music Hall of Fame,37.775228,-87.1098,
